name,started,status_2026,owner_2026,source
3dfx,"1994, San Jose, California, by three Silicon Graphics engineers","Defunct. Operations ended December 2000, bankruptcy filing in 2002","Nvidia, which bought the patents, trademarks and brand names in December 2000",https://404memoryfound.com/posts/what-happened-to-3dfx-voodoo-graphics-card.html
3DO,"October 4, 1993, as the Panasonic FZ-1",Discontinued since 1996; a 2026 relaunch collapsed in a week,"Throwback Entertainment, Toronto (trademark, designs, 3do.com)",https://404memoryfound.com/posts/what-happened-to-3do-700-dollar-console.html
Adobe Flash,"August 19, 1996 as FutureSplash Animator, renamed Flash 1.0 in 1997","Discontinued. Flash Player ended on December 31, 2020 and was blocked from January 12, 2021","Adobe, which bought Macromedia for about $3.4 billion in 2005",https://404memoryfound.com/posts/definitive-history-macromedia-flash.html
AltaVista,"December 15, 1995, by Digital Equipment Corporation","Closed on July 8, 2013; altavista.com redirects to Yahoo Search","Yahoo Inc., majority-owned by Apollo Global Management funds since 2021",https://404memoryfound.com/posts/what-happened-to-altavista-search-engine.html
Amazon,,Still public as AMZN; market value passed $3 trillion in August 2026,,https://404memoryfound.com/posts/how-amazon-survived-dot-com-crash.html
Anbernic,,"Still selling in 2026, but direct China-to-US shipping was suspended on April 21, 2025 and US orders depend on warehouse stock",,https://404memoryfound.com/posts/anbernic-handheld-worth-it-game-boy.html
Angelfire,"1996, as a paid website builder and medical transcription service","Shut down April 24, 2026; hosted pages purged","Lycos, Inc., a subsidiary of Brightcom Group",https://404memoryfound.com/posts/is-angelfire-still-online.html
AOL,,"Active: AOL Mail, news portal and paid plans","Bending Spoons (Milan), since January 2, 2026",https://404memoryfound.com/posts/does-aol-still-exist-today.html
AOL Instant Messenger,"May 1997, by America Online","Shut down. No official service since December 15, 2017","AOL brand held by Bending Spoons, since January 2, 2026",https://404memoryfound.com/posts/what-happened-to-aim-aol-instant-messenger.html
AOL Time Warner,,Dissolved. AOL was spun off in 2009 and the name is gone,AOL: Bending Spoons. Time Warner assets: Warner Bros. Discovery,https://404memoryfound.com/posts/aol-time-warner-merger-worst-deal-in-history.html
Apple,,"Apple Inc. is public on Nasdaq as AAPL; market value crossed $4 trillion on October 28, 2025",Shareholders. Microsoft sold its entire Apple stake by 2003,https://404memoryfound.com/posts/when-apple-almost-went-bankrupt-1997.html
Apple Newton,"August 2, 1993, Apple Computer, $699","Discontinued February 27, 1998, no successor until the iPhone",,https://404memoryfound.com/posts/what-happened-to-apple-newton.html
Arcades,,"Still operating: 7,113 US arcade, food and entertainment businesses in 2026",,https://404memoryfound.com/posts/what-happened-to-arcades-golden-age-gaming.html
Ask Jeeves,"April 1997, natural-language question search","Closed. Ask.com shut down on May 1, 2026",,https://404memoryfound.com/posts/what-happened-to-ask-jeeves-search-engine.html
Atari,,Active and operationally profitable; about $65 million revenue for the year to March 2026,"Atari SA, listed on Euronext Growth Paris as ALATA",https://404memoryfound.com/posts/who-owns-atari-now.html
Atari Jaguar,"November 23, 1993, Atari Corporation, $249.99",Discontinued in 1996; Atari Corporation no longer exists,"Atari SA, Euronext Paris, run by CEO Wade Rosen since 2021",https://404memoryfound.com/posts/what-happened-to-atari-jaguar-64-bit-console.html
Barnes and Noble,,"Open and expanding, with about 28 stores opened since January 2026","Elliott Investment Management, since 2019",https://404memoryfound.com/posts/is-barnes-and-noble-still-open.html
Beanie Babies Bubble,"1993, Ty Inc. (founded by H. Ty Warner in 1986)",Ty still sells Beanie Babies; most 90s bears trade for $1 to $5,,https://404memoryfound.com/posts/beanie-babies-bubble-what-happened.html
Betamax vs VHS,"May 10, 1975 in Japan, February 1976 in the United States","Beaten by VHS, recorders ended in 2002, blank cassettes in March 2016",Sony,https://404memoryfound.com/posts/betamax-vs-vhs-format-war.html
BlackBerry,"1984 in Waterloo, Ontario, as Research In Motion",Active software company; no BlackBerry phones since 2016,"Publicly traded, no parent company (NYSE: BB, TSX: BB)",https://404memoryfound.com/posts/what-happened-to-blackberry-smartphone.html
Bliss wallpaper,,Vineyard land; briefly bare and green again on 18 February 2026,,https://404memoryfound.com/posts/windows-xp-wallpaper-bliss-story.html
Blockbuster,,"Open, one store, in Bend, Oregon","Dish Network, a wholly owned subsidiary of EchoStar",https://404memoryfound.com/posts/is-blockbuster-still-open-last-store.html
BonziBuddy,"1999, Bonzi Software Inc. (California)",Discontinued in 2004; no supported download,"Joe Bonzi and Jay Bonzi, who now run 2KDirect",https://404memoryfound.com/posts/what-happened-to-bonzibuddy-spyware.html
Boo.com,"3 November 1999, London, in 18 countries at once",Dead since 18 May 2000; no store at boo.com,"Hostelworld Group plc, formerly Web Reservations International",https://404memoryfound.com/posts/what-happened-to-boo-com-fashion-dot-com.html
Borders,"1971, Ann Arbor, Michigan, as a used bookstore run by Tom and Louis Borders",No Borders stores in the US. Borders-branded shops still operate in the Gulf under Al Maya Group,"Barnes & Noble, which paid $13.9 million for the name, the domains and 48 million customer records in 2011",https://404memoryfound.com/posts/who-owns-borders-now-bookstore.html
Broadcast.com,1995 in Dallas as AudioNet; renamed Broadcast.com in 1998,Service closed in 2002; no site at the address,"Yahoo, owned by Apollo Global Management funds since 2021",https://404memoryfound.com/posts/broadcast-com-yahoo-billion-dollar-deal.html
Chuck E. Cheese,"1977, founded by Atari co-founder Nolan Bushnell",Animatronics in 5 US locations; removed chain-wide by the end of 2024,"CEC Entertainment, about 90 percent held by six private equity groups",https://404memoryfound.com/posts/chuck-e-cheese-animatronics-still-there.html
Circuit City,"1949 in Richmond, Virginia, as Wards, by Samuel Wurtzel","Online-only brand. No stores since March 8, 2009","Circuit City Corporation, led by Ronny Shmoel (bought the brand from Systemax in 2016)",https://404memoryfound.com/posts/what-happened-to-circuit-city-electronics.html
Claire's,"1961 as Fashion Tress Industries, a wig company, renamed after buying Claire's in 1973","Open and still piercing ears, with more than 131 million piercings claimed since 1978","Ames Watson, since September 2025",https://404memoryfound.com/posts/who-owns-claires-now.html
Clippy,"November 19, 1996, in Microsoft Office 97",Not a feature. A Microsoft 365 emoji and a hidden Copilot avatar,,https://404memoryfound.com/posts/what-happened-to-clippy-microsoft.html
Club Penguin,"October 24, 2005, New Horizon Interactive, Kelowna, BC","Closed since March 29, 2017; no official version since 2018","The Walt Disney Company, which bought it on August 1, 2007",https://404memoryfound.com/posts/what-happened-to-club-penguin.html
Columbia House,"1955, as the Columbia Record Club, by Columbia Records","Stops accepting new orders after September 15, 2026","John Lippman, who bought the brand out of bankruptcy in 2015 for about $1.5 million",https://404memoryfound.com/posts/is-columbia-house-still-around.html
Commodore,1954 by Jack Tramiel; the Commodore 64 launched August 1982 at $595,Trading again as Commodore Corporation B.V. since July 2025,Investor group led by Christian Simpson (Peri Fractic),https://404memoryfound.com/posts/what-happened-to-commodore-computers.html
Compaq,"February 1982, Houston, by three ex-Texas Instruments managers","Brand retired by HP in 2013, now licensed to other makers",,https://404memoryfound.com/posts/compaq-lost-pc-business-hp-merger.html
CompuServe,"1969, Columbus, Ohio, as a Golden United Life Insurance subsidiary",No online service; compuserve.com runs as a news portal,"Yahoo, owned by Apollo Global Management funds since September 2021",https://404memoryfound.com/posts/what-happened-to-compuserve-online-service.html
Counter-Strike,,"Live as Counter-Strike 2, released September 27, 2023","Valve Corporation, since 2000",https://404memoryfound.com/posts/what-happened-to-counter-strike-half-life-mod.html
Craigslist,1995 as Craig Newmark's San Francisco email list; incorporated 1999,"Still operating, in more than 570 cities in over 70 countries",Private; founder Craig Newmark and CEO Jim Buckmaster,https://404memoryfound.com/posts/what-happened-to-craigslist-ugliest-website-worth-billions.html
Dial-Up Internet,,"Still sold in the US in 2026 by NetZero, Juno and MSN Dial-Up","NetZero and Juno are United Online brands, owned by B. Riley Financial since July 1, 2016",https://404memoryfound.com/posts/dial-up-internet-still-available-2026.html
Dial-Up Sound,,"AOL ended dial-up September 30, 2025; about 100,277 US households still use it",,https://404memoryfound.com/posts/dial-up-modem-sound-explained.html
Dial-Up Speed,,"Still sold by NetZero and Juno; AOL ended dial-up on September 30, 2025",,https://404memoryfound.com/posts/dialup-speed-then-vs-now.html
Did Skype,"2003, by Niklas Zennström and Janus Friis","Retired on May 5, 2025; the apps and skype.com sign-in now point to Microsoft Teams Free","Microsoft, which paid $8.5 billion in cash in May 2011",https://404memoryfound.com/posts/skype-shut-down-what-replaced-it.html
Digg,"December 5, 2004, by Kevin Rose and three co-founders","Live at digg.com as an AI news aggregator, in alpha since May 2026","Kevin Rose and Alexis Ohanian, who bought Digg in March 2025",https://404memoryfound.com/posts/what-happened-to-digg-social-news.html
Digitize VHS Tapes,,"Still doable at home; Legacybox, Southtree and Kodak Digitizing are one Chattanooga company",,https://404memoryfound.com/posts/how-to-digitize-vhs-tapes-2026.html
Discovery Zone,1989; first FunCenter opened January 1990,Original chain liquidated; last locations closed by the end of 2001,"An unaffiliated operator runs one Discovery Zone at Florence Mall, Kentucky",https://404memoryfound.com/posts/discovery-zone-failed-indoor-playground.html
Disney Store,"March 28, 1987, at the Glendale Galleria in Glendale, California","Open, with selling shifted to shopDisney and Target shop-in-shops, plus two Disney Store Limited Time pop-ups in 2026","The Walt Disney Company, which took 231 North American stores back on May 1, 2008",https://404memoryfound.com/posts/is-disney-store-still-open.html
DIVX,"June 1998, Digital Video Express (Circuit City owned about 75 percent)","Dead. Discontinued June 16, 1999; no disc has played since June 30, 2001",,https://404memoryfound.com/posts/divx-circuit-city-dvd-format.html
Doom,"December 10, 1993, by id Software, as shareware","Active series; Doom: The Dark Ages shipped May 15, 2025","Microsoft, through ZeniMax Media and id Software",https://404memoryfound.com/posts/how-doom-changed-pc-gaming-internet.html
eBay,"September 1995, as AuctionWeb, by Pierre Omidyar","Still operating, public on Nasdaq as EBAY",Public shareholders; no single owner,https://404memoryfound.com/posts/ebay-broken-laser-pointer-to-global-marketplace.html
Eee PC,"October 2007, Asus Eee PC, $300 to $400 in the US",Dead category; no major brand sells a netbook in 2026,,https://404memoryfound.com/posts/what-happened-to-netbooks-laptops.html
Encarta,"March 22, 1993, Microsoft","Discontinued. Disc sales ended June 2009, MSN Encarta closed October 31, 2009",,https://404memoryfound.com/posts/what-happened-to-microsoft-encarta.html
eToys,"1997, founded by Toby Lenk in Santa Monica, California","Bankrupt since March 7, 2001; no eToys store operating in 2026","Toys R Us, which bought the eToys.com name in February 2009",https://404memoryfound.com/posts/etoys-com-who-owns-it-now.html
Eudora,,"Discontinued; last release October 11, 2006","Computer History Museum, since May 2018",https://404memoryfound.com/posts/what-happened-to-eudora-email-client.html
EverQuest,"March 16, 1999, by Verant Interactive for Sony Online Entertainment","Live in 2026. Newest server, Lethar, opened August 26, 2026","Darkpaw Games, part of Daybreak Game Company, owned by Enad Global 7",https://404memoryfound.com/posts/everquest-still-active-2026.html
Excite@Home,"@Home Network, 1995, by Milo Medin, William Randolph Hearst III and three cable operators","Gone. Chapter 11 on September 28, 2001; network switched off December 1, 2001","excite.com is an IAC property, operated by Ask Media Group; search by System1",https://404memoryfound.com/posts/what-happened-to-excite-at-home-broadband.html
FAO Schwarz,"1862, as a toy bazaar in Baltimore; New York store from 1870","Open and expanding, with FAO Schwarz toys sold on Nordstrom.com since June 2026","ThreeSixty Group of Irvine, California, which bought the brand on October 4, 2016",https://404memoryfound.com/posts/fao-schwarz-store-rockefeller-center.html
Flickr,"February 10, 2004, by Ludicorp in Vancouver",Still online and taking uploads in 2026,"SmugMug, since April 2018",https://404memoryfound.com/posts/what-happened-to-flickr-yahoo-photo-sharing.html
Floppy disk,,No new production anywhere; every disk sold is pre-2011 stock,,https://404memoryfound.com/posts/floppy-disks-still-made-today.html
Flying Toasters,,Still built into Windows 11 and macOS; the boxed screensaver business is gone,"After Dark went to the Sierra On-Line division of CUC International in 1997, with no version sold since",https://404memoryfound.com/posts/what-happened-to-screensavers-flying-toasters.html
Foot Locker,"1879, Lancaster, Pennsylvania, by Frank Winfield Woolworth","No US Woolworth stores since 1997; about 1,000 Woolworth stores trading in Europe under a separate German company","Dick's Sporting Goods, which completed its Foot Locker purchase on September 8, 2025",https://404memoryfound.com/posts/is-woolworth-still-in-business.html
